,air_date,director,episode_description,episode_number,link,rating,rating_count,season,storyline,title,writers
15,25 Oct. 1990,Wesley Archer,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.",3,http://www.imdb.com/title/tt0701278/?ref_=ttep_ep3,8.2,"1,981",2,"Bart and Lisa are in their treehouse, making scary stories up by scaring each other. Lisa tells a story of the Simpsons moving into a cursed mansion, Bart tells a story of the Simpsons being abducted by aliens who are desperate to eat them, and Lisa tells the story of Edgar Allan Poe's ""The Raven.""                Written by
kevindklenke",Treehouse of Horror,"Jay Kogen, Wallace Wolodarsky"
16,1 Nov. 1990,Wesley Archer,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.",4,http://www.imdb.com/title/tt0757023/?ref_=ttep_ep4,8.1,"1,615",2,"A three-eyed fish is caught in the Springfield River downstream from the nuclear plant, leading to a government safety inspection. When Mr. Burns is told that the plant will be shut down, he gets drunk in his car with Homer. Homer remarks that if Burns were governor, he could make new laws to keep the plant open. Burns seizes on this remark and announces his candidacy. Afraid for his job, Homer pushes his family to campaign for Burns, but Marge is a staunch supporter of the incumbent, Mary Bailey. On the night before the election, Burns dines at the Simpson home as a publicity stunt.                Written by
crouchbk",Two Cars in Every Garage and Three Eyes on Every Fish,"Matt Groening (created by), James L. Brooks (developed by)"
17,8 Nov. 1990,Mark Kirkland,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.,5,http://www.imdb.com/title/tt0701084/?ref_=ttep_ep5,7.5,"1,531",2,"At the ball game a drunken Homer heckles the Springfiels isotopes and dances around to the strains of 'Baby Elephant walk'. He is such a hit he becomes the team's official mascot but,when he travels to Capital City to stand in for the Capital City Goofball he is booed off the pitch and returns to being Springfield's own Dancin' Homer.                Written by
don @ minifie-1",Dancin' Homer,"Matt Groening (created by), James L. Brooks (developed by)"
18,15 Nov. 1990,Rich Moore,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.",6,http://www.imdb.com/title/tt0767442/?ref_=ttep_ep6,8.0,"1,517",2,"Overcome with jealousy at Ned Flanders's affluent lifestyle and affectionate family, Homer paints him as a snobbish jerk to the rest of his family and looks eagerly for an opportunity to show him up. He finds it in an upcoming miniature golf tournament, and enters Bart against Ned's son Todd.                Written by
crouchbk",Dead Putting Society,"Matt Groening (created by), James L. Brooks (developed by)"
19,22 Nov. 1990,David Silverman,"On Thanksgiving, Bart gets into a fight with the family and runs away from home, before sharing a turkey dinner with a group of homeless people at a soup kitchen, and learning the true meaning of the holiday in the process.",7,http://www.imdb.com/title/tt0701062/?ref_=ttep_ep7,7.7,"1,470",2,"Grampa, Mother Bouvier, Patty and Selma join the Simpsons on Thanksgiving Day. Just before the turkey is brought in, Lisa shows off a meticulously crafted cornucopia paying homage to women in history. When Bart brings in the turkey and begins to set it on the table, he complains Lisa's centerpiece is in the way. A fight ensues, and the centerpiece lands in the fireplace, where it quickly burns up. Lisa runs to her room in tears, and Bart is ordered to go to his room and not come out until he apologizes. When Bart continues to refuse to apologize, he decides to run away. Santa's Little Helper joins him (after he is kicked out for trying to get a nibble of Homer's turkey). After a run-in with a pack of killer dogs at Mr. Burns' mansion, Bart donates some plasma for $12. He passes out, and a pair of bums take him to a homeless shelter for Thanksgiving dinner, the topic of Kent Brockman's news report. Brockman interviews Bart, who still refuses to apologize. Eventually, Bart sees that the...                Written by
Brian Rathjen <briguy_52732@yahoo.com>",Bart vs. Thanksgiving,"Matt Groening (created by), James L. Brooks (developed by)"
20,6 Dec. 1990,Wesley Archer,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.",8,http://www.imdb.com/title/tt0767438/?ref_=ttep_ep8,8.4,"1,683",2,"Inspired by Evel Knievel-type daredevil Lance Murdock, Bart decides to spend his free time doing stunts with his skateboard. Despite a early trip to the hospital, he continues to show off and thrills his classmates to no end. But when he suspects his act may be going stale, he announces that he'll perform the greatest stunt possible -- a leap off of SPRINGFIELD GORGE!                Written by
Daniel Timothy Dey",Bart the Daredevil,"Matt Groening (created by), James L. Brooks (developed by)"
21,20 Dec. 1990,Jim Reardon,Marge becomes a crusader against cartoon violence after watching The Itchy and Scratchy Show.,9,http://www.imdb.com/title/tt0701140/?ref_=ttep_ep9,8.1,"1,550",2,"When Maggie attacks her father,Psycho-style with a mallet,Marge blames the violent TV cartoon series 'Itchy and Scratchy' and gets it banned. Children,released from the spell of constant television viewing,learn to play outdoors again. However when Marge refuses to condemn Michelangelo's David as obscene she is branded a hypocrite and the cartoon is restored.                Written by
don @ minifie-1",Itchy and Scratchy and Marge,"Matt Groening (created by), James L. Brooks (developed by)"
22,10 Jan. 1991,Mark Kirkland,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.",10,http://www.imdb.com/title/tt0757017/?ref_=ttep_ep10,7.8,"1,492",2,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.",Bart Gets Hit by a Car,"Matt Groening (created by), James L. Brooks (developed by)"
23,24 Jan. 1991,Wesley Archer,"After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live.",11,http://www.imdb.com/title/tt0701195/?ref_=ttep_ep11,8.8,"1,875",2,"After the family have visited the Happy Sumo sushi restaurant Homer is led to believe that he has eaten a poisonous fugu fish and will be dead by the next day. He therefore makes a list of all the things he must do such as making his peace with his father and insulting Burns,which gets him sacked. Preparing to die he falls asleep listening to a tape of Larry King reading the Bible but next morning wakes up to find he was not poisoned after all.                Written by
don @ minifie-1","One Fish, Two Fish, Blowfish, Blue Fish","Matt Groening (created by), James L. Brooks (developed by)"
24,31 Jan. 1991,David Silverman,Homer and Marge tell the story of how they met and fell in love in high school.,12,http://www.imdb.com/title/tt0701269/?ref_=ttep_ep12,8.2,"1,551",2,"Marge and Homer tell the children how they first met - as high school students in 1974. Homer tried to impress Marge by pretending to be a French student to take her to the prom but she chose Artie Zif as her escort instead. However after Artie has made a nuisance of himself Marge rejects him and returns to the man she will marry.                Written by
don @ minifie-1",The Way We Was,"Matt Groening (created by), James L. Brooks (developed by)"
25,7 Feb. 1991,Rich Moore,"Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing.",13,http://www.imdb.com/title/tt0767443/?ref_=ttep_ep13,8.0,"1,473",2,"Lisa is shocked when Homer does an under the counter deal with a television installation engineer and gets cable T.V. for free as it is against the eighth commandment - Thou Shalt Not Steal. Lisa and Homer both,unsuccessfully, try to convince each other of their point of view but,after consultation with the Reverend Lovejoy,Lisa knows exactly what she must do - pull the plug whilst everybody is watching the big fight at on Homer's television.                Written by
don @ minifie-1",Homer vs. Lisa and the 8th Commandment,"Matt Groening (created by), James L. Brooks (developed by)"
26,14 Feb. 1991,Mark Kirkland,"After attending a co-worker's wedding, Selma begins to fear she will die alone. However, when Homer tries to set her up with Principal Skinner, he falls for Patty instead.",14,http://www.imdb.com/title/tt0767445/?ref_=ttep_ep14,7.5,"1,378",2,"After attending a co-worker's wedding, a depressed Selma begs Marge to help her find a man. Marge sets Homer to the task, and Homer is impressed by Principal Skinner. Homer invites Skinner to the Simpson home for dinner, but accidentally introduces him to Selma's twin, Patty.                Written by
crouchbk",Principal Charming,"Matt Groening (created by), James L. Brooks (developed by)"
27,21 Feb. 1991,Wesley Archer,"After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family soon discovers the brother, named Herb, owns a car company. However Herb's hiring of Homer to design a new car may be his undoing.",15,http://www.imdb.com/title/tt0701191/?ref_=ttep_ep15,8.2,"1,563",2,"Homer discovers that he has an illegitimate half-brother who was adopted by a wealthy family and is now the very successful car manufacturer Herb Powell. Herb is invited to stay with the Simpsons and,considering Homer to be an average American and typical consumer,asks him to design a new car for the company. It is,however,a total disaster and results in Herb's bankruptcy.                Written by
don @ minifie-1","Oh Brother, Where Art Thou?","Matt Groening (created by), James L. Brooks (developed by)"
28,7 Mar. 1991,Jim Reardon,"After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training.",16,http://www.imdb.com/title/tt0701063/?ref_=ttep_ep16,7.5,"1,393",2,"After Santa's Little Helper has chewed Homer's new shoes and eaten his cookies, Homer decides to get rid of him unless he can behave. Bart takes him to an obedience class run by the formidable Emily Winthrop but he does not respond well. Fortunately Bart has the faith to persevere and to put his dog successfully through the test.                Written by
don @ minifie-1",Bart's Dog Gets an F,"Matt Groening (created by), James L. Brooks (developed by)"
29,28 Mar. 1991,David Silverman,"After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it.",17,http://www.imdb.com/title/tt0701192/?ref_=ttep_ep17,7.6,"1,375",2,"Grampa begins dating Bea Simmons, another resident of the Springfield Retirement Castle, but she dies. She was a very rich woman, and leaves all her money to Grampa. He is at first unsure how to spend it, and invites suggestions from all-comers who, apart from Lisa, are greedy and want it for themselves. He ultimately donates it to make much needed improvements to the retirement home, telling everybody: ""Dignity's on me, friends.""                Written by
don @ minifie-1",Old Money,"Matt Groening (created by), James L. Brooks (developed by)"
30,11 Apr. 1991,Jim Reardon,"After becoming trapped in a water slide, Homer decides to go on a diet, while Marge enrolls in an art class and is soon commissioned to paint a portrait of Mr. Burns.",18,http://www.imdb.com/title/tt0701077/?ref_=ttep_ep18,8.0,"1,387",2,"Marge revives her interest in art - she once did a painting of Ringo Starr - and Mr. Burns commissions her to do a portrait of him, depicting him as a beautiful man. However, after he has insulted Homer's weight the painting shows him nude, though Marge explains that she intended to show his vulnerability as a frail old man and Burns is highly impressed.                Written by
don @ minifie-1",Brush with Greatness,"Matt Groening (created by), James L. Brooks (developed by)"
31,25 Apr. 1991,Rich Moore,"Lisa has a crush on her substitute teacher, who seemingly represents everything that Homer is not. Meanwhile, Bart decides to run for class president, and becomes the overwhelming favorite.",19,http://www.imdb.com/title/tt0701164/?ref_=ttep_ep19,8.5,"1,850",2,"Lisa's teacher, Miss Hoover, is stricken with Lyme disease, and Mr. Bergstrom, a cool, witty, substitute teacher takes her place. Lisa is smitten with the smart, sensitive man, who contrasts so favorable; it seems, with her own father. Meanwhile, Bart decides to run for class president where he is expected to easily triumph over class brain Martin Prince.                Written by
Tiff Banks",Lisa's Substitute,"Matt Groening (created by), James L. Brooks (developed by)"
32,2 May 1991,Mark Kirkland,"Homer must decide which is more important: completing counseling to save his marriage or skipping out to catch a legendary catfish. Meanwhile, at home, Bart and Lisa take advantage of Grampa's ignorance of the house rules.",20,http://www.imdb.com/title/tt0766140/?ref_=ttep_ep20,7.9,"1,374",2,"After Homer makes a fool of himself at a party, he and Marge go to a mountain retreat to help their marriage. While there, Homer tries to catch a giant catfish named General Sherman. Bart and Lisa throw a wild party when Grandpa is babysitting them.                Written by
Anonymous",The War of the Simpsons,"Matt Groening (created by), James L. Brooks (developed by)"
33,9 May 1991,Wesley Archer,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.",21,http://www.imdb.com/title/tt0701275/?ref_=ttep_ep21,8.4,"1,531",2,"Bart attends a comic book convention and decides he wants to buy the first issue of ""Radioactive Man"" comics for $100. He tries and fails to earn the money in various ways, including helping elderly neighbor Mrs. Glick, who works him like a horse then gives him a quarter. So Bart decides to go in with Milhouse and Martin, both of whom want the comic, though neither has enough money. When they chip in to buy the comic book, their friendships may be over as they turn to jealousy for the book.                Written by
Tiff Banks",Three Men and a Comic Book,"Matt Groening (created by), James L. Brooks (developed by)"
34,11 Aug. 1991,David Silverman,"Bart saves Mr. Burns's life. But Homer becomes enraged when Mr. Burns doesn't return the favor by sending the Simpsons what he considers to be an appropriate ""thank you"" gift.",22,http://www.imdb.com/title/tt0767440/?ref_=ttep_ep22,8.0,"1,359",2,"Mr. Burns is dying of hypohemia, and needs an immediate transfusion of double-O negative blood. Finding out that Bart has the right blood type, Homer volunteers him, confident that Burns will reward him richly. When all Burns sends is a thank-you card, an enraged Homer writes a hate-mail letter. Marge begs him not to mail it, but Bart does it the next morning.                Written by
crouchbk",Blood Feud,"Matt Groening (created by), James L. Brooks (developed by)"
35,19 Sep. 1991,Rich Moore,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.,1,http://www.imdb.com/title/tt0701217/?ref_=ttep_ep1,8.6,"1,982",3,"Bart puts his lucky red cap in the laundry, turning Homer's white shirt pink. When he wears the pink shirt to work, Homer is sent to a mental institution where his roommate is a big fat white guy who believes himself to be Michael Jackson. Homer's roommate and Bart collaborate on a song for Lisa's birthday-which she believes to be the best present she ever got.                Written by
Tiff Banks",Stark Raving Dad,"Matt Groening (created by), James L. Brooks (developed by)"
36,26 Sep. 1991,Wesley Archer,"Lisa enters a contest and wins a trip to Washington D.C. for the whole family. While there, she discovers corruption and decides to expose the corrupt official.",2,http://www.imdb.com/title/tt0701183/?ref_=ttep_ep2,7.7,"1,434",3,"Lisa enters a contest and wins a trip to Washington D.C. for the whole family. While there, she discovers corruption and decides to expose the corrupt official.",Mr. Lisa Goes to Washington,"Matt Groening (created by), James L. Brooks (developed by)"
37,3 Oct. 1991,Jim Reardon,"Ned Flanders opens a mall store catering to lefties. Homer, however, wishes Flanders would fail.",3,http://www.imdb.com/title/tt0763042/?ref_=ttep_ep3,8.2,"1,449",3,"At a family barbecue Ned announces his intention to open the Leftorium,a store catering for left-handed customers. Homer,ever jealous of his neighbour,hopes it will fail - and indeed it does,getting to the point where Ned has to sell many of his possessions and his house seems likely to be repossessed. Feeling guilty Homer comes to Ned's rescue by pointing all the left-handed people he knows in the store's direction and thus saving it. Bart,meanwhile,pays the price for going to the video arcade when he should be at self-defence classes.                Written by
don @ minifie-1",When Flanders Failed,"Matt Groening (created by), James L. Brooks (developed by)"
38,10 Oct. 1991,Rich Moore,"Bart stumbles upon the local mafia boss, and starts working for him on the side. When Principal Skinner goes missing after punishing Bart, he and Fat Tony's gang are suspected of killing him, but they try to get Bart to take the rap.",4,http://www.imdb.com/title/tt0701060/?ref_=ttep_ep4,8.7,"1,605",3,"Bart stumbles upon the local mafia boss, and starts working for him on the side. When Principal Skinner goes missing after punishing Bart, he and Fat Tony's gang are suspected of killing him, but they try to get Bart to take the rap.",Bart the Murderer,"Matt Groening (created by), James L. Brooks (developed by)"
39,17 Oct. 1991,Mark Kirkland,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident.",5,http://www.imdb.com/title/tt0701110/?ref_=ttep_ep5,8.5,"1,598",3,"Homer prevents a nuclear meltdown,purely by picking a button to press at random, but he is declared a hero and asked to give a talk on plant safety. During the talk he is called upon to prevent another meltdown and exposed as a lucky chancer who only averted an accident by mistake. Marge goes to see Millhouse's mother who has barred her son from seeing Bart,whom she regards as a bad influence,and persuades her to change her mind.                Written by
don @ minifie-1",Homer Defined,"Matt Groening (created by), James L. Brooks (developed by)"
40,24 Oct. 1991,Brad Bird,"When the Simpsons have Krusty the Clown over for dinner, he says grace in Hebrew, and recalls his difficult relationship with his father, a rabbi. Bart and Lisa try to reunite the two of them.",6,http://www.imdb.com/title/tt0701153/?ref_=ttep_ep6,7.7,"1,397",3,"Krusty the Klown (finally) fulfills a promise to have dinner with the Simpsons, during which he reveals his Jewish heritage, and his estrangement from his father, who expected him to follow in his footsteps by becoming a Rabbi. Seeing how distraught he is, Bart and Lisa set out to reconcile Krusty with his father.                Written by
Tfilm78","Like Father, Like Clown","Matt Groening (created by), James L. Brooks (developed by)"
41,31 Oct. 1991,Jim Reardon,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.",7,http://www.imdb.com/title/tt0759267/?ref_=ttep_ep7,8.2,"1,527",3,The Simpsons go to a market sale and receive a severed monkey's paw which can grant five wishes. Bart has magic powers so he can turn people into anything he wants if they be naughty to him and he turns Homer into a Jack-in-the-box. Mr Burns' puts Homer's brain into a robot.,Treehouse of Horror II,"Matt Groening (created by) (as Malevolent Matt Groening), James L. Brooks (developed by) (as James Hell Brooks)"
42,7 Nov. 1991,Carlos Baeza,"After ruining Lisa's performance at the school talent show, Homer tries to make it up by buying her a pony.",8,http://www.imdb.com/title/tt0701161/?ref_=ttep_ep8,7.9,"1,376",3,"Lisa calls on Homer to buy her a replacement reed for her saxophone for a talent show at school. Homer, however, is unable to bring it to her on time, because he wasted time at Moe's Tavern. He decides the best way to make her forget her anger is to buy her a pony, which he must take a second job--working at the Kwik-E-Mart--to support.                Written by
Anonymous",Lisa's Pony,"Matt Groening (created by), James L. Brooks (developed by)"
